Date,Min,Avg,Max
2021-07-29,450.0,498.33,550.0
2021-07-15,450.0,498.33,550.0
2021-07-08,450.0,498.33,550.0
2021-07-01,450.0,498.33,550.0
2021-06-24,450.0,498.33,550.0
2021-06-17,450.0,498.33,550.0
2021-06-10,450.0,498.33,550.0
2021-06-03,450.0,498.33,550.0
2021-05-27,450.0,498.33,550.0
2021-05-20,450.0,498.33,550.0
2021-05-06,450.0,498.33,550.0
2021-04-29,450.0,498.33,550.0
2021-04-22,450.0,498.33,550.0
2021-04-15,450.0,498.33,550.0
2021-04-08,450.0,498.33,550.0
2021-04-01,450.0,498.33,550.0
2021-03-25,450.0,498.33,550.0
2021-03-18,450.0,498.33,550.0
2021-03-11,450.0,498.33,550.0
2021-03-04,450.0,498.33,550.0
2021-02-25,450.0,498.33,550.0
2021-02-18,450.0,498.33,550.0
2021-02-11,450.0,498.33,550.0
2021-02-04,450.0,498.33,550.0
2021-01-28,450.0,498.33,550.0
2021-01-21,450.0,498.33,550.0
2021-01-14,450.0,498.33,550.0
2021-01-07,450.0,498.33,550.0
2020-12-31,450.0,498.33,550.0
2020-12-24,450.0,498.33,550.0
2020-12-17,450.0,498.33,550.0
2020-12-10,450.0,498.33,550.0
2020-12-03,450.0,498.33,550.0
2020-11-26,450.0,498.33,550.0
2020-11-19,450.0,498.33,550.0
2020-11-12,450.0,498.33,550.0
2020-11-05,450.0,498.33,550.0
2020-10-29,450.0,498.33,550.0
2020-10-22,450.0,498.33,550.0
2020-10-15,450.0,498.33,550.0
2020-10-08,450.0,498.33,550.0
2020-10-01,450.0,498.33,550.0
2020-09-24,450.0,498.33,550.0
2020-09-17,450.0,498.33,550.0
2020-09-10,450.0,498.33,550.0
2020-09-03,450.0,498.33,550.0
2020-08-27,450.0,498.33,550.0
2020-08-20,450.0,498.33,550.0
2020-08-13,450.0,498.33,550.0
2020-08-06,450.0,498.33,550.0
2020-07-29,450.0,498.33,550.0
2020-07-23,450.0,498.33,550.0
2020-07-16,450.0,498.33,550.0
2020-07-09,450.0,498.33,550.0
2020-07-02,450.0,498.33,550.0
2020-06-25,450.0,498.33,550.0
2020-06-18,450.0,498.33,550.0
2020-06-11,450.0,498.33,550.0
2020-06-04,450.0,498.33,550.0
2020-05-28,450.0,498.33,550.0
2020-05-21,450.0,498.33,550.0
2020-05-14,2.0,2.0,2.0
2020-05-07,450.0,498.33,550.0
2020-04-30,450.0,498.33,550.0
2020-04-23,450.0,498.33,550.0
2020-04-16,450.0,498.33,550.0
2020-04-09,450.0,498.33,550.0
2020-04-02,450.0,498.33,550.0
2020-03-26,450.0,498.33,550.0
2020-03-19,450.0,498.33,550.0
2020-03-12,450.0,498.33,550.0
2020-03-05,450.0,498.33,550.0
2020-02-27,450.0,498.33,550.0
2020-02-20,450.0,498.33,550.0
2020-02-13,450.0,498.33,550.0
2020-02-06,450.0,498.33,550.0
2020-01-30,450.0,498.33,550.0
2020-01-23,450.0,498.33,550.0
2020-01-16,450.0,498.33,550.0
2020-01-09,450.0,498.33,550.0
2020-01-02,450.0,498.33,550.0
2019-12-26,450.0,498.33,550.0
2019-12-19,450.0,498.33,550.0
2019-12-12,450.0,498.33,550.0
2019-12-05,450.0,498.33,550.0
2019-11-28,450.0,498.33,550.0
2019-11-21,450.0,498.33,550.0
2019-11-14,450.0,498.33,550.0
2019-11-07,450.0,498.33,550.0
2019-10-31,450.0,498.33,550.0
2019-10-24,450.0,498.33,550.0
2019-10-17,450.0,498.33,550.0
2019-10-10,450.0,498.33,550.0
2019-10-03,450.0,498.33,550.0
2019-09-26,450.0,498.33,550.0
2019-09-19,450.0,498.33,550.0
2019-09-12,450.0,498.33,550.0
2019-09-05,450.0,498.33,550.0
2021-08-06,450.0,498.33,550.0
2021-08-12,450.0,498.33,550.0
