Date,Min,Avg,Max
2019-09-05,60.0,60.0,60.0
2019-09-12,60.0,60.0,60.0
2019-09-19,60.0,60.0,60.0
2019-09-26,60.0,60.0,60.0
2019-10-03,60.0,60.0,60.0
2019-10-10,60.0,60.0,60.0
2019-10-17,60.0,60.0,60.0
2019-10-24,60.0,60.0,60.0
2019-10-31,60.0,60.0,60.0
2019-11-07,60.0,60.0,60.0
2019-11-14,60.0,60.0,60.0
2019-11-21,60.0,60.0,60.0
2019-11-28,60.0,60.0,60.0
2019-12-05,60.0,60.0,60.0
2019-12-12,60.0,60.0,60.0
2019-12-19,60.0,60.0,60.0
2019-12-26,60.0,60.0,60.0
2020-01-02,60.0,60.0,60.0
2020-01-09,60.0,60.0,60.0
2020-01-16,80.0,80.0,80.0
2020-01-23,80.0,80.0,80.0
2020-01-30,80.0,80.0,80.0
2020-02-06,80.0,80.0,80.0
2020-02-13,80.0,80.0,80.0
2020-02-20,60.0,60.0,60.0
2020-02-27,70.0,73.19,80.0
2020-03-05,70.0,73.19,80.0
2020-03-12,70.0,73.19,80.0
2020-03-19,70.0,73.19,80.0
2020-03-26,70.0,73.19,80.0
2020-04-02,70.0,73.19,80.0
2020-04-09,90.0,90.0,90.0
2020-04-16,70.0,70.0,70.0
2020-04-23,80.0,80.0,80.0
2020-04-30,80.0,80.0,80.0
2020-05-07,80.0,80.0,80.0
2020-05-14,90.0,90.0,90.0
2020-05-21,90.0,90.0,90.0
2020-05-28,90.0,90.0,90.0
2020-06-04,90.0,90.0,90.0
2020-06-11,90.0,90.0,90.0
2020-06-18,90.0,90.0,90.0
2020-06-25,100.0,100.0,100.0
2020-07-02,100.0,100.0,100.0
2020-07-09,80.0,84.9,90.0
2020-07-16,100.0,100.0,100.0
2020-07-23,100.0,100.0,100.0
2020-07-29,100.0,100.0,100.0
2020-08-06,100.0,100.0,100.0
2020-08-13,100.0,100.0,100.0
2020-08-20,100.0,100.0,100.0
2020-08-27,100.0,100.0,100.0
2020-09-03,80.0,80.0,80.0
2020-09-10,80.0,80.0,80.0
2020-09-17,80.0,80.0,80.0
2020-09-24,80.0,80.0,80.0
2020-10-01,60.0,60.0,60.0
2020-10-08,60.0,60.0,60.0
2020-10-15,70.0,70.0,70.0
2020-10-22,60.0,60.0,60.0
2020-10-29,60.0,60.0,60.0
2020-11-05,60.0,60.0,60.0
2020-11-12,60.0,60.0,60.0
2020-11-19,60.0,60.0,60.0
2020-11-26,60.0,60.0,60.0
2020-12-03,70.0,70.0,70.0
2020-12-10,60.0,60.0,60.0
2020-12-17,60.0,60.0,60.0
2020-12-24,60.0,60.0,60.0
2020-12-31,60.0,60.0,60.0
2021-01-07,60.0,60.0,60.0
2021-01-14,70.0,76.52,80.0
2021-01-21,70.0,76.52,80.0
2021-01-28,60.0,63.16,70.0
2021-02-04,70.0,76.52,80.0
2021-02-11,70.0,76.52,80.0
2021-02-18,70.0,76.52,80.0
2021-02-25,70.0,76.52,80.0
2021-03-04,70.0,76.52,80.0
2021-03-11,60.0,63.16,70.0
2021-03-18,80.0,80.0,80.0
2021-03-25,80.0,80.0,80.0
2021-04-01,80.0,80.0,80.0
2021-04-08,80.0,80.0,80.0
2021-04-15,80.0,80.0,80.0
2021-04-22,80.0,80.0,80.0
2021-04-29,100.0,100.0,100.0
2021-05-06,100.0,100.0,100.0
2021-05-20,100.0,100.0,100.0
2021-05-27,100.0,100.0,100.0
2021-06-03,100.0,100.0,100.0
2021-06-10,100.0,100.0,100.0
2021-06-17,100.0,100.0,100.0
2021-06-24,100.0,100.0,100.0
2021-07-01,100.0,100.0,100.0
2021-07-08,80.0,80.0,80.0
2021-07-15,80.0,80.0,80.0
2021-07-29,100.0,100.0,100.0
2021-08-05,80.0,80.0,80.0
2021-08-12,80.0,80.0,80.0
2021-08-26,80.0,80.0,80.0
2021-09-02,70.0,70.0,70.0
2021-09-09,70.0,70.0,70.0
2021-09-16,70.0,70.0,70.0
2021-09-23,60.0,60.0,60.0
2021-09-30,60.0,60.0,60.0
2021-10-07,60.0,60.0,60.0
2021-10-14,60.0,60.0,60.0
2021-10-21,60.0,60.0,60.0
2021-10-28,60.0,60.0,60.0
2021-12-02,60.0,60.0,60.0
2021-11-04,60.0,60.0,60.0
2021-11-11,60.0,60.0,60.0
