Date,Min,Avg,Max
2019-09-05,45.0,46.61,50.0
2019-09-12,45.0,46.61,50.0
2019-09-19,45.0,46.61,50.0
2019-09-26,45.0,46.61,50.0
2019-10-03,45.0,46.61,50.0
2019-10-10,45.0,46.61,50.0
2019-10-17,45.0,46.61,50.0
2019-10-24,45.0,46.61,50.0
2019-10-31,45.0,46.61,50.0
2019-11-07,45.0,46.61,50.0
2019-11-14,45.0,46.61,50.0
2019-11-21,45.0,46.61,50.0
2019-11-28,45.0,46.61,50.0
2019-12-05,45.0,46.61,50.0
2019-12-12,50.0,50.0,50.0
2019-12-19,50.0,50.0,50.0
2019-12-26,50.0,50.0,50.0
2020-01-02,50.0,50.0,50.0
2020-01-09,50.0,50.0,50.0
2020-01-16,50.0,50.0,50.0
2020-01-23,50.0,50.0,50.0
2020-01-30,50.0,50.0,50.0
2020-02-06,50.0,50.0,50.0
2020-02-13,50.0,50.0,50.0
2020-02-20,50.0,50.0,50.0
2020-02-27,50.0,50.0,50.0
2020-03-05,50.0,50.0,50.0
2020-03-12,50.0,50.0,50.0
2020-03-19,50.0,50.0,50.0
2020-03-26,50.0,50.0,50.0
2020-04-02,50.0,50.0,50.0
2020-04-09,50.0,50.0,50.0
2020-04-16,50.0,50.0,50.0
2020-04-23,50.0,50.0,50.0
2020-04-30,50.0,50.0,50.0
2020-05-07,50.0,50.0,50.0
2020-05-14,50.0,50.0,50.0
2020-05-21,50.0,50.0,50.0
2020-05-28,50.0,50.0,50.0
2020-06-04,50.0,50.0,50.0
2020-06-11,50.0,50.0,50.0
2020-06-18,50.0,50.0,50.0
2020-06-25,50.0,50.0,50.0
2020-07-02,50.0,50.0,50.0
2020-07-09,50.0,50.0,50.0
2020-07-16,50.0,50.0,50.0
2020-07-23,50.0,50.0,50.0
2020-07-29,50.0,50.0,50.0
2020-08-06,50.0,50.0,50.0
2020-08-13,50.0,50.0,50.0
2020-08-20,50.0,50.0,50.0
2020-08-27,50.0,50.0,50.0
2020-09-03,50.0,50.0,50.0
2020-09-10,50.0,50.0,50.0
2020-09-17,50.0,50.0,50.0
2020-09-24,50.0,50.0,50.0
2020-10-01,50.0,50.0,50.0
2020-10-08,50.0,50.0,50.0
2020-10-15,50.0,50.0,50.0
2020-10-22,50.0,50.0,50.0
2020-10-29,50.0,50.0,50.0
2020-11-05,50.0,51.61,55.0
2020-11-12,50.0,51.61,55.0
2020-11-19,50.0,51.61,55.0
2020-11-26,50.0,51.61,55.0
2020-12-03,55.0,55.0,55.0
2020-12-10,55.0,55.0,55.0
2020-12-17,55.0,55.0,55.0
2020-12-24,55.0,55.0,55.0
2020-12-31,55.0,55.0,55.0
2021-01-07,55.0,55.0,55.0
2021-01-14,55.0,55.0,55.0
2021-01-21,55.0,55.0,55.0
2021-01-28,55.0,55.0,55.0
2021-02-04,60.0,60.0,60.0
2021-02-11,60.0,60.0,60.0
2021-02-18,60.0,60.0,60.0
2021-02-25,60.0,60.0,60.0
2021-03-04,60.0,60.0,60.0
2021-03-11,60.0,60.0,60.0
2021-03-18,60.0,60.0,60.0
2021-03-25,60.0,60.0,60.0
2021-04-01,60.0,60.0,60.0
2021-04-08,60.0,60.0,60.0
2021-04-15,60.0,60.0,60.0
2021-04-22,60.0,60.0,60.0
2021-04-29,60.0,60.0,60.0
2021-05-06,60.0,60.0,60.0
2021-05-20,60.0,60.0,60.0
2021-05-27,60.0,60.0,60.0
2021-06-03,60.0,60.0,60.0
2021-06-10,60.0,60.0,60.0
2021-06-17,60.0,60.0,60.0
2021-06-24,60.0,60.0,60.0
2021-07-01,60.0,60.0,60.0
2021-07-08,60.0,60.0,60.0
2021-07-15,60.0,60.0,60.0
2021-07-29,60.0,60.0,60.0
2021-08-05,60.0,60.0,60.0
2021-08-12,60.0,60.0,60.0
2021-08-26,60.0,60.0,60.0
2021-09-02,60.0,60.0,60.0
2021-09-09,60.0,60.0,60.0
2021-09-16,65.0,65.0,65.0
2021-09-23,65.0,65.0,65.0
2021-09-30,65.0,65.0,65.0
2021-10-07,65.0,65.0,65.0
2021-10-14,65.0,65.0,65.0
2021-10-21,65.0,65.0,65.0
2021-10-28,65.0,65.0,65.0
2021-12-02,65.0,65.0,65.0
