Date,Min,Avg,Max
2021-07-29,316.0,316.0,316.0
2021-07-15,316.0,316.0,316.0
2021-07-08,303.0,303.0,303.0
2021-07-01,303.0,303.0,303.0
2021-06-24,303.0,303.0,303.0
2021-06-17,303.0,303.0,303.0
2021-06-10,303.0,303.0,303.0
2021-06-03,303.0,303.0,303.0
2021-05-27,303.0,303.0,303.0
2021-05-20,303.0,303.0,303.0
2021-05-06,303.0,303.0,303.0
2021-04-29,303.0,303.0,303.0
2021-04-22,303.0,303.0,303.0
2021-04-15,303.0,303.0,303.0
2021-04-08,296.0,296.0,296.0
2021-04-01,296.0,296.0,296.0
2021-03-25,296.0,296.0,296.0
2021-03-18,296.0,296.0,296.0
2021-03-11,296.0,296.0,296.0
2021-03-04,296.0,296.0,296.0
2021-02-25,296.0,296.0,296.0
2021-02-18,296.0,296.0,296.0
2021-02-11,296.0,296.0,296.0
2021-02-04,296.0,296.0,296.0
2021-01-28,267.0,267.0,267.0
2021-01-21,267.0,267.0,267.0
2021-01-14,255.0,255.0,255.0
2021-01-07,255.0,255.0,255.0
2020-12-31,255.0,255.0,255.0
2020-12-24,255.0,255.0,255.0
2020-12-17,255.0,255.0,255.0
2020-12-10,246.0,246.0,246.0
2020-12-03,246.0,246.0,246.0
2020-11-26,246.0,246.0,246.0
2020-11-19,246.0,246.0,246.0
2020-11-12,246.0,246.0,246.0
2020-11-05,242.0,242.0,242.0
2020-10-29,242.0,242.0,242.0
2020-10-22,242.0,242.0,242.0
2020-10-15,242.0,242.0,242.0
2020-10-08,242.0,242.0,242.0
2020-10-01,242.0,242.0,242.0
2020-09-24,242.0,242.0,242.0
2020-09-17,242.0,242.0,242.0
2020-09-10,242.0,242.0,242.0
2020-09-03,242.0,242.0,242.0
2020-08-27,242.0,242.0,242.0
2020-08-20,242.0,242.0,242.0
2020-08-13,242.0,242.0,242.0
2020-08-06,242.0,242.0,242.0
2020-07-29,254.0,254.0,254.0
2020-07-23,254.0,254.0,254.0
2020-07-16,254.0,254.0,254.0
2020-07-09,254.0,254.0,254.0
2020-07-02,254.0,254.0,254.0
2020-06-25,254.0,254.0,254.0
2020-06-18,254.0,254.0,254.0
2020-06-11,254.0,254.0,254.0
2020-06-04,254.0,254.0,254.0
2020-05-28,254.0,254.0,254.0
2020-05-21,254.0,254.0,254.0
2020-05-14,254.0,254.0,254.0
2020-05-07,254.0,254.0,254.0
2020-04-30,254.0,254.0,254.0
2020-04-23,254.0,254.0,254.0
2020-04-16,254.0,254.0,254.0
2020-04-09,254.0,254.0,254.0
2020-04-02,254.0,254.0,254.0
2020-03-26,254.0,254.0,254.0
2020-03-19,254.0,254.0,254.0
2020-03-12,254.0,254.0,254.0
2020-03-05,254.0,254.0,254.0
2020-02-27,254.0,254.0,254.0
2020-02-20,254.0,254.0,254.0
2020-02-13,254.0,254.0,254.0
2020-02-06,254.0,254.0,254.0
2020-01-30,254.0,254.0,254.0
2020-01-23,223.0,223.0,223.0
2020-01-16,217.0,219.0,220.0
2020-01-09,217.0,219.0,220.0
2020-01-02,217.0,219.0,220.0
2019-12-26,217.0,217.0,217.0
2019-12-19,217.0,217.0,217.0
2019-12-12,217.0,217.0,217.0
2019-12-05,217.0,217.0,217.0
2019-11-28,217.0,217.0,217.0
2019-11-21,217.0,217.0,217.0
2019-11-14,210.0,210.55,215.0
2019-11-07,210.0,210.55,215.0
2019-10-31,210.0,210.55,215.0
2019-10-24,210.0,210.55,215.0
2019-10-17,210.0,210.55,215.0
2019-10-10,210.0,210.55,215.0
2019-10-03,210.0,210.55,215.0
2019-09-26,210.0,210.55,215.0
2019-09-19,210.0,210.55,215.0
2019-09-12,210.0,210.0,210.0
2019-09-05,210.0,210.0,210.0
2021-08-06,316.0,316.0,316.0
2021-08-12,316.0,316.0,316.0
2021-08-26,341.0,341.0,341.0
