Date,Min,Avg,Max
2019-09-05,155.0,155.0,155.0
2019-09-12,155.0,155.0,155.0
2019-09-19,155.0,155.0,155.0
2019-09-26,155.0,155.0,155.0
2019-10-03,155.0,155.0,155.0
2019-10-10,155.0,155.0,155.0
2019-10-17,155.0,155.0,155.0
2019-10-24,155.0,155.0,155.0
2019-10-31,155.0,155.0,155.0
2019-11-07,155.0,155.0,155.0
2019-11-14,155.0,155.0,155.0
2019-11-21,155.0,155.0,155.0
2019-11-28,155.0,155.0,155.0
2019-12-05,155.0,155.0,155.0
2019-12-12,155.0,155.0,155.0
2019-12-19,155.0,155.0,155.0
2019-12-26,155.0,155.0,155.0
2020-01-02,155.0,155.0,155.0
2020-01-09,155.0,155.0,155.0
2020-01-16,155.0,155.0,155.0
2020-01-23,155.0,155.0,155.0
2020-01-30,155.0,155.0,155.0
2020-02-06,155.0,155.0,155.0
2020-02-13,155.0,155.0,155.0
2020-02-20,155.0,155.0,155.0
2020-02-27,155.0,155.0,155.0
2020-03-05,155.0,155.0,155.0
2020-03-12,155.0,155.0,155.0
2020-03-19,155.0,155.0,155.0
2020-03-26,155.0,155.0,155.0
2020-04-02,155.0,155.0,155.0
2020-04-09,155.0,155.0,155.0
2020-04-16,155.0,155.0,155.0
2020-04-23,155.0,155.0,155.0
2020-04-30,155.0,155.0,155.0
2020-05-07,155.0,155.0,155.0
2020-05-14,155.0,155.0,155.0
2020-05-21,155.0,155.0,155.0
2020-05-28,155.0,155.0,155.0
2020-06-04,155.0,155.0,155.0
2020-06-11,155.0,155.0,155.0
2020-06-18,155.0,155.0,155.0
2020-06-25,155.0,155.0,155.0
2020-07-02,155.0,155.0,155.0
2020-07-09,155.0,155.0,155.0
2020-07-16,155.0,155.0,155.0
2020-07-23,155.0,155.0,155.0
2020-07-29,155.0,155.0,155.0
2020-08-06,155.0,155.0,155.0
2020-08-13,155.0,155.0,155.0
2020-08-20,155.0,155.0,155.0
2020-08-27,155.0,155.0,155.0
2020-09-03,155.0,155.0,155.0
2020-09-10,155.0,155.0,155.0
2020-09-17,155.0,155.0,155.0
2020-09-24,155.0,155.0,155.0
2020-10-01,160.0,160.0,160.0
2020-10-08,160.0,160.0,160.0
2020-10-15,160.0,160.0,160.0
2020-10-22,160.0,160.0,160.0
2020-10-29,160.0,160.0,160.0
2020-11-05,160.0,160.0,160.0
2020-11-12,160.0,160.0,160.0
2020-11-19,160.0,160.0,160.0
2020-11-26,160.0,160.0,160.0
2020-12-03,160.0,160.0,160.0
2020-12-10,160.0,160.0,160.0
2020-12-17,160.0,160.0,160.0
2020-12-24,160.0,160.0,160.0
2020-12-31,160.0,160.0,160.0
2021-01-07,160.0,160.0,160.0
2021-01-14,160.0,160.0,160.0
2021-01-21,160.0,160.0,160.0
2021-01-28,160.0,160.0,160.0
2021-02-04,160.0,160.0,160.0
2021-02-11,160.0,160.0,160.0
2021-02-18,160.0,160.0,160.0
2021-02-25,160.0,160.0,160.0
2021-03-04,160.0,160.0,160.0
2021-03-11,160.0,160.0,160.0
2021-03-18,160.0,160.0,160.0
2021-03-25,160.0,160.0,160.0
2021-04-01,160.0,160.0,160.0
2021-04-08,160.0,160.0,160.0
2021-04-15,160.0,160.0,160.0
2021-04-22,160.0,160.0,160.0
2021-04-29,160.0,160.0,160.0
2021-05-06,160.0,160.0,160.0
2021-05-20,160.0,160.0,160.0
2021-05-27,160.0,160.0,160.0
2021-06-03,160.0,160.0,160.0
2021-06-10,160.0,160.0,160.0
2021-06-17,160.0,160.0,160.0
2021-06-24,160.0,160.0,160.0
2021-07-01,160.0,160.0,160.0
2021-07-08,160.0,160.0,160.0
2021-07-15,160.0,160.0,160.0
2021-07-29,160.0,160.0,160.0
2021-08-05,160.0,160.0,160.0
2021-08-12,160.0,160.0,160.0
2021-08-26,160.0,160.0,160.0
2021-09-02,160.0,160.0,160.0
2021-09-09,160.0,160.0,160.0
