Date,Min,Avg,Max
2019-09-05,600.0,600.0,600.0
2019-09-12,600.0,600.0,600.0
2019-09-19,600.0,600.0,600.0
2019-09-26,600.0,600.0,600.0
2019-10-03,600.0,600.0,600.0
2019-10-10,600.0,600.0,600.0
2019-10-17,600.0,600.0,600.0
2019-10-24,600.0,600.0,600.0
2019-10-31,600.0,616.22,650.0
2019-11-07,600.0,616.22,650.0
2019-11-14,650.0,650.0,650.0
2019-11-21,650.0,650.0,650.0
2019-11-28,650.0,650.0,650.0
2019-12-05,650.0,650.0,650.0
2019-12-12,650.0,650.0,650.0
2019-12-19,650.0,650.0,650.0
2019-12-26,650.0,650.0,650.0
2020-01-02,650.0,650.0,650.0
2020-01-09,650.0,650.0,650.0
2020-01-16,650.0,650.0,650.0
2020-01-23,650.0,650.0,650.0
2020-01-30,650.0,650.0,650.0
2020-02-06,650.0,650.0,650.0
2020-02-13,650.0,650.0,650.0
2020-02-20,650.0,650.0,650.0
2020-02-27,650.0,650.0,650.0
2020-03-05,650.0,650.0,650.0
2020-03-12,650.0,650.0,650.0
2020-03-19,650.0,650.0,650.0
2020-03-26,650.0,650.0,650.0
2020-04-02,650.0,650.0,650.0
2020-04-09,650.0,650.0,650.0
2020-04-16,650.0,650.0,650.0
2020-04-23,650.0,650.0,650.0
2020-04-30,650.0,650.0,650.0
2020-05-07,650.0,650.0,650.0
2020-05-14,650.0,650.0,650.0
2020-05-21,650.0,650.0,650.0
2020-05-28,650.0,650.0,650.0
2020-06-04,650.0,650.0,650.0
2020-06-11,650.0,650.0,650.0
2020-06-18,650.0,650.0,650.0
2020-06-25,650.0,650.0,650.0
2020-07-02,650.0,650.0,650.0
2020-07-09,650.0,650.0,650.0
2020-07-16,650.0,650.0,650.0
2020-07-23,650.0,650.0,650.0
2020-07-29,650.0,650.0,650.0
2020-08-06,650.0,650.0,650.0
2020-08-13,650.0,650.0,650.0
2020-08-20,650.0,650.0,650.0
2020-08-27,650.0,650.0,650.0
2020-09-03,650.0,650.0,650.0
2020-09-10,650.0,650.0,650.0
2020-09-17,650.0,650.0,650.0
2020-09-24,650.0,650.0,650.0
2020-10-01,650.0,650.0,650.0
2020-10-08,650.0,650.0,650.0
2020-10-15,650.0,650.0,650.0
2020-10-22,650.0,650.0,650.0
2020-10-29,650.0,650.0,650.0
2020-11-05,650.0,650.0,650.0
2020-11-12,650.0,650.0,650.0
2020-11-19,650.0,650.0,650.0
2020-11-26,650.0,650.0,650.0
2020-12-03,650.0,650.0,650.0
2020-12-10,650.0,650.0,650.0
2020-12-17,650.0,650.0,650.0
2020-12-24,650.0,666.26,700.0
2020-12-31,650.0,666.26,700.0
2021-01-07,650.0,666.26,700.0
2021-01-14,650.0,666.26,700.0
2021-01-21,650.0,666.26,700.0
2021-01-28,650.0,666.26,700.0
2021-02-04,650.0,666.26,700.0
2021-02-11,650.0,666.26,700.0
2021-02-18,650.0,666.26,700.0
2021-02-25,650.0,666.26,700.0
2021-03-04,650.0,666.26,700.0
2021-03-11,650.0,666.26,700.0
2021-03-18,650.0,666.26,700.0
2021-03-25,650.0,666.26,700.0
2021-04-01,650.0,666.26,700.0
2021-04-08,650.0,666.26,700.0
2021-04-15,650.0,666.26,700.0
2021-04-22,650.0,666.26,700.0
2021-04-29,650.0,666.26,700.0
2021-05-06,650.0,666.26,700.0
2021-05-20,650.0,666.26,700.0
2021-05-27,650.0,666.26,700.0
2021-06-03,650.0,666.26,700.0
2021-06-10,650.0,666.26,700.0
2021-06-17,650.0,666.26,700.0
2021-06-24,650.0,666.26,700.0
2021-07-01,650.0,666.26,700.0
2021-07-08,650.0,666.26,700.0
2021-07-15,650.0,666.26,700.0
2021-07-29,650.0,666.26,700.0
2021-08-05,650.0,666.26,700.0
2021-08-12,650.0,666.26,700.0
2021-08-26,650.0,666.26,700.0
2021-09-02,650.0,666.26,700.0
2021-09-09,650.0,666.26,700.0
2021-09-16,650.0,666.26,700.0
2021-09-23,650.0,666.26,700.0
2021-09-30,650.0,666.26,700.0
2021-10-07,650.0,666.26,700.0
2021-10-14,650.0,666.26,700.0
2021-10-21,650.0,666.26,700.0
2021-10-28,650.0,666.26,700.0
2021-12-02,650.0,666.26,700.0
2021-11-04,650.0,666.26,700.0
2021-11-11,650.0,666.26,700.0
2021-11-18,650.0,666.26,700.0
