Date,Min,Avg,Max
2019-09-05,13.74,79.97,113.74
2019-09-12,113.74,113.74,113.74
2019-09-19,113.74,113.74,113.74
2019-09-26,113.74,113.74,113.74
2019-10-03,113.74,113.74,113.74
2019-10-10,113.74,113.74,113.74
2019-10-17,113.74,113.74,113.74
2019-10-24,113.74,113.74,113.74
2019-10-31,113.74,113.74,113.74
2019-11-07,114.74,114.74,114.74
2019-11-14,114.74,114.74,114.74
2019-11-21,114.74,114.74,114.74
2019-11-28,114.74,114.74,114.74
2019-12-05,114.49,114.49,114.49
2019-12-12,114.49,114.49,114.49
2019-12-19,114.49,114.49,114.49
2019-12-26,114.49,114.49,114.49
2020-01-02,117.1,117.1,117.1
2020-01-09,117.1,117.1,117.1
2020-01-16,117.1,117.1,117.1
2020-01-23,117.1,117.1,117.1
2020-01-30,117.1,117.1,117.1
2020-02-06,117.1,117.1,117.1
2020-02-13,117.1,117.1,117.1
2020-02-20,117.1,117.1,117.1
2020-02-27,117.1,117.1,117.1
2020-03-05,112.5,112.5,112.5
2020-03-12,112.5,112.5,112.5
2020-03-19,112.5,112.5,112.5
2020-03-26,97.7,97.7,97.7
2020-04-02,97.7,97.7,97.7
2020-04-09,97.7,97.7,97.7
2020-04-16,97.7,97.7,97.7
2020-04-23,97.7,97.7,97.7
2020-04-30,97.7,97.7,97.7
2020-05-07,82.1,82.1,82.1
2020-05-14,82.1,82.1,82.1
2020-05-21,82.1,82.1,82.1
2020-05-28,82.1,82.1,82.1
2020-06-04,74.94,74.94,74.94
2020-06-11,74.94,74.94,74.94
2020-06-18,74.94,74.94,74.94
2020-06-25,74.94,74.94,74.94
2020-07-02,100.5,100.5,100.5
2020-07-09,100.5,100.5,100.5
2020-07-16,100.5,100.5,100.5
2020-07-23,100.5,100.5,100.5
2020-07-29,100.5,100.5,100.5
2020-08-06,104.5,104.5,104.5
2020-08-13,104.5,104.5,104.5
2020-08-20,104.5,104.5,104.5
2020-08-27,104.5,104.5,104.5
2020-09-03,104.5,104.5,104.5
2020-09-10,104.5,104.5,104.5
2020-09-17,104.5,104.5,104.5
2020-09-24,104.5,104.5,104.5
2020-10-01,104.5,104.5,104.5
2020-10-08,104.5,104.5,104.5
2020-10-15,104.5,104.5,104.5
2020-10-22,104.5,104.5,104.5
2020-10-29,104.5,104.5,104.5
2020-11-05,102.9,102.9,102.9
2020-11-12,102.9,102.9,102.9
2020-11-19,101.2,101.2,101.2
2020-11-26,101.2,101.2,101.2
2020-12-03,101.2,101.2,101.2
2020-12-10,101.2,101.2,101.2
2020-12-17,104.2,104.2,104.2
2020-12-24,104.2,104.2,104.2
2020-12-31,104.2,104.2,104.2
2021-01-07,106.5,106.5,106.5
2021-01-14,106.5,106.5,106.5
2021-01-21,109.7,109.7,109.7
2021-01-28,109.7,109.7,109.7
2021-02-04,112.4,112.4,112.4
2021-02-11,112.4,112.4,112.4
2021-02-18,112.4,112.4,112.4
2021-02-25,112.4,112.4,112.4
2021-03-04,112.4,112.4,112.4
2021-03-11,112.4,112.4,112.4
2021-03-18,112.4,112.4,112.4
2021-03-25,112.4,112.4,112.4
2021-04-01,110.87,110.87,110.87
2021-04-08,110.87,110.87,110.87
2021-04-15,110.87,110.87,110.87
2021-04-22,109.8,109.8,109.8
2021-04-29,109.8,109.8,109.8
2021-05-06,109.8,109.8,109.8
2021-05-20,109.8,109.8,109.8
2021-05-27,109.8,109.8,109.8
2021-06-03,109.8,109.8,109.8
2021-06-10,109.8,109.8,109.8
2021-06-17,111.2,111.2,111.2
2021-06-24,111.2,111.2,111.2
2021-07-01,113.2,113.2,113.2
2021-07-08,113.2,113.2,113.2
2021-07-15,113.2,113.2,113.2
2021-07-29,118.58,118.62,118.85
2021-08-05,120.29,120.29,120.29
2021-08-12,120.29,120.29,120.29
2021-08-26,120.29,120.29,120.29
2021-09-02,118.8,118.8,118.8
2021-09-09,118.8,118.8,118.8
2021-09-16,123.8,123.8,123.8
2021-09-23,123.8,123.8,123.8
2021-09-30,123.8,123.8,123.8
2021-10-07,123.8,123.8,123.8
2021-10-14,123.8,123.8,123.8
2021-10-21,123.8,123.8,123.8
2021-10-28,123.8,123.8,123.8
2021-12-02,123.8,123.8,123.8
2021-11-04,123.8,123.8,123.8
2021-11-11,123.8,123.8,123.8
2021-11-18,123.8,123.8,123.8
2021-11-25,123.8,123.8,123.8
2021-12-08,123.8,123.8,123.8
